WKT,Business name,Lat,Longitude,shop_no
POINT (36.9401864 -1.3970327),Mlolongo,-1.3970327,36.9401864,1
POINT (36.8731357 -1.2494244),Mathare,-1.2494244,36.8731357,2
POINT (36.7762184 -1.3074527),Kibra,-1.3074527,36.7762184,3
POINT (36.7754654 -1.3125595),Bombolulu,-1.3125595,36.7754654,4
POINT (36.7540917 -1.2639274),Kangemi ,-1.2639274,36.7540917,5
POINT (36.8929145 -1.3191634),Pipeline,-1.3191634,36.8929145,6
POINT (36.9061428 -1.243594),Dandora,-1.243594,36.9061428,7
POINT (36.8987633 -1.2188305),Kasarani,-1.2188305,36.8987633,8
POINT (36.8849296 -1.2669699),Kariobangi South ,-1.2669699,36.8849296,9
POINT (36.8576715 -1.2950581),Jogoo Raod ,-1.2950581,36.8576715,10
POINT (36.8852215 -1.2992336),Donholm,-1.2992336,36.8852215,11
POINT (36.8218545 -1.3099397),Nairobi West ,-1.3099397,36.8218545,12
POINT (36.744836 -1.293744),Satellite,-1.293744,36.744836,13
POINT (36.9161158 -1.2091142),Githurai,-1.2091142,36.9161158,14
POINT (36.9820091 -1.264812),Ruai,-1.264812,36.9820091,15
POINT (36.9063089 -1.2766957),Kayole,-1.2766957,36.9063089,16
POINT (36.8946839 -1.2093086),Zimmerman,-1.2093086,36.8946839,17
POINT (36.9595663 -1.484945),Kitengela,-1.484945,36.9595663,18
POINT (36.7378452 -1.2852095),Kawangware,-1.2852095,36.7378452,19
POINT (36.7431083 -1.2885239),Keroka,-1.2885239,36.7431083,20
POINT (36.7879727 -1.297745),Ngong Road,-1.297745,36.7879727,21
POINT (36.8213234 -1.2762848),Ngara,-1.2762848,36.8213234,22
POINT (37.2667857 -1.5191024),Machakos,-1.5191024,37.2667857,23
POINT (36.9639677 -1.2803974),Utawala ,-1.2803974,36.9639677,24
POINT (36.7442377 -1.3938636),Ongata Rongai,-1.3938636,36.7442377,25
POINT (36.8991667 -1.2392778),Lucky Summer,-1.2392778,36.8991667,26
POINT (36.884 -1.2542222),Kariobangi North,-1.2542222,36.884,27
POINT (36.8916376 1.2799656),Umoja,1.2799656,36.8916376,28
POINT (36.8643889 -1.2588611),Juja Road/Huruma,-1.2588611,36.8643889,29
POINT (34.5998886 -0.7689843),Rongo,-0.7689843,34.5998886,30
POINT (34.455394 -0.5294347),Homabay,-0.5294347,34.455394,31
POINT (34.7731013 -0.0799683),Kondele,-0.0799683,34.7731013,32
POINT (34.2084417 -0.4228944),Mbita,-0.4228944,34.2084417,33
POINT (34.1660829 -0.5384463),Sindo,-0.5384463,34.1660829,34
POINT (34.476874 -1.085992),Migori,-1.085992,34.476874,35
POINT (34.778133 -0.677392),Kisii,-0.677392,34.778133,36
POINT (34.739068 -0.502272),Oyugis,-0.502272,34.739068,37
POINT (34.919929 -0.174098),Ahero,-0.174098,34.919929,38
POINT (34.796077 -0.077551),KLC,-0.077551,34.796077,39
POINT (34.7655032 -0.1094736),Nyalenda,-0.1094736,34.7655032,40
POINT (34.7506642 0.2855308),Kakamega,0.2855308,34.7506642,41
POINT (35.0710377 -0.1616391),Awasi,-0.1616391,35.0710377,42
POINT (35.0118437 -0.3900021),Sondu,-0.3900021,35.0118437,43
POINT (34.5583766 0.5695252),Bungoma,0.5695252,34.5583766,44
POINT (34.4877423 0.3332218),Mumias,0.3332218,34.4877423,45
POINT (34.70769 -0.6787595),Suneka,-0.6787595,34.70769,46
POINT (34.5422387 -0.9117866),Awendo,-0.9117866,34.5422387,47
POINT (34.5874448 0.0240007),Luanda,0.0240007,34.5874448,48
POINT (34.7174403 0.0412279),Majengo,0.0412279,34.7174403,49
POINT (34.731949 0.1166116),Chavakali,0.1166116,34.731949,50
POINT (34.727113 0.0901855),Mbale,0.0901855,34.727113,51
POINT (34.2842795 0.0602987),Siaya,0.0602987,34.2842795,52
POINT (34.4568838 -1.0938467),Suna East,-1.0938467,34.4568838,53
POINT (34.9364722 -0.5629167),Nyamira,-0.5629167,34.9364722,54
POINT (34.2958333 0.1801389),Uganda,0.1801389,34.2958333,55
POINT (34.5030833 -0.626),Rodi Kopany,-0.626,34.5030833,56
